Table from Semeter, Kamalabadi 2005
1: s/R
2: Lambda

1	2
-0.525	0
-0.500	0.006
-0.475	0.02
-0.450	0.027
-0.425	0.042
-0.400	0.058
-0.375	0.069
-0.350	0.091
-0.325	0.123
-0.300	0.145
-0.275	0.181
-0.250	0.214
-0.225	0.248
-0.200	0.313
-0.175	0.36
-0.150	0.431
-0.125	0.499
-0.100	0.604
-0.075	0.728
-0.050	0.934
-0.025	1.237
0	1.686
0.025	1.995
0.05	2.063
0.075	2.024
0.1	1.946
0.125	1.846
0.15	1.761
0.175	1.681
0.2	1.596
0.225	1.502
0.25	1.421
0.275	1.346
0.3	1.26
0.325	1.19
0.35	1.101
0.375	1.043
0.4	0.972
0.425	0.888
0.45	0.834
0.475	0.759
0.5	0.689
0.525	0.636
0.55	0.567
0.575	0.504
0.6	0.45
0.625	0.388
0.65	0.334
0.675	0.282
0.7	0.231
0.725	0.187
0.75	0.149
0.775	0.113
0.8	0.081
0.825	0.058
0.85	0.037
0.875	0.023
0.9	0.01
0.925	0.002
0.95	0
